ŽžŠÔ[s],CH1(Max)[V],CH1(Min)[V],CH2(Max)[V],CH2(Min)[V],CH3(Max)[V],CH3(Min)[V],CH4(Max)[V],CH4(Min)[V],CH5(Max)[V],CH5(Min)[V],CH6(Max)[V],CH6(Min)[V]
11.5500 ,0.0175 ,0.0150 ,0.0150 ,0.0150 ,0.0025 ,0.0000 ,-0.0025 ,-0.0050 ,3.0500 ,3.0438 ,0.0188 ,0.0063 
11.6000 ,0.0175 ,0.0125 ,0.0175 ,0.0125 ,0.0050 ,0.0000 ,-0.0025 ,-0.0050 ,3.0438 ,3.0375 ,0.0125 ,0.0063 
11.6500 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0000 ,-0.0025 ,-0.0050 ,3.0438 ,3.0375 ,0.0125 ,0.0063 
11.7000 ,0.0200 ,0.0125 ,0.0175 ,0.0150 ,0.0050 ,0.0025 ,-0.0025 ,-0.0050 ,3.0500 ,3.0438 ,0.0125 ,0.0063 
11.7500 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0025 ,-0.0025 ,-0.0050 ,3.0500 ,3.0438 ,0.0125 ,0.0063 
11.8000 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0050 ,0.0000 ,0.0025 ,-0.0050 ,3.0438 ,3.0438 ,0.0125 ,0.0063 
11.8500 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0050 ,0.0025 ,-0.0025 ,-0.0050 ,3.0438 ,3.0375 ,0.0125 ,0.0063 
11.9000 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0050 ,0.0000 ,0.0000 ,-0.0050 ,3.0375 ,3.0250 ,0.0125 ,0.0063 
11.9500 ,0.0150 ,0.0125 ,0.0125 ,0.0125 ,0.0075 ,0.0025 ,-0.0025 ,-0.0050 ,3.0188 ,3.0125 ,0.0125 ,0.0063 
12.0000 ,0.0150 ,0.0125 ,0.0150 ,0.0100 ,0.0075 ,0.0025 ,-0.0025 ,-0.0025 ,3.0125 ,2.9938 ,0.0125 ,0.0063 
12.0500 ,0.0175 ,0.0125 ,0.0125 ,0.0075 ,0.0075 ,0.0050 ,-0.0025 ,-0.0050 ,2.9938 ,2.9813 ,0.0125 ,0.0000 
12.1000 ,0.0150 ,0.0150 ,0.0150 ,0.0100 ,0.0075 ,0.0025 ,-0.0025 ,-0.0075 ,2.9813 ,2.9750 ,0.0125 ,0.0063 
12.1500 ,0.0150 ,0.0125 ,0.0150 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0050 ,2.9750 ,2.9750 ,0.0125 ,0.0000 
12.2000 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.9750 ,2.9750 ,0.0125 ,0.0063 
12.2500 ,0.0150 ,0.0100 ,0.0125 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.9750 ,2.9688 ,0.0125 ,0.0063 
12.3000 ,0.0150 ,0.0125 ,0.0150 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.9625 ,2.9563 ,0.0125 ,0.0063 
12.3500 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0100 ,0.0075 ,-0.0050 ,-0.0075 ,2.9500 ,2.9313 ,0.0125 ,0.0063 
12.4000 ,0.0175 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0075 ,2.9250 ,2.9063 ,0.0125 ,0.0063 
12.4500 ,0.0150 ,0.0125 ,0.0150 ,0.0100 ,0.0050 ,0.0050 ,0.0000 ,-0.0050 ,2.9000 ,2.8813 ,0.0125 ,0.0063 
12.5000 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0075 ,0.0000 ,-0.0050 ,2.8813 ,2.8563 ,0.0125 ,0.0063 
12.5500 ,0.0150 ,0.0100 ,0.0150 ,0.0100 ,0.0100 ,0.0050 ,-0.0025 ,-0.0050 ,2.8563 ,2.8438 ,0.0125 ,0.0063 
12.6000 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.8438 ,2.8188 ,0.0188 ,0.0063 
12.6500 ,0.0150 ,0.0075 ,0.0150 ,0.0100 ,0.0075 ,0.0050 ,-0.0025 ,-0.0025 ,2.8125 ,2.7938 ,0.0125 ,0.0063 
12.7000 ,0.0150 ,0.0100 ,0.0175 ,0.0125 ,0.0100 ,0.0075 ,-0.0025 ,-0.0050 ,2.7938 ,2.7875 ,0.0125 ,0.0063 
12.7500 ,0.0150 ,0.0075 ,0.0150 ,0.0125 ,0.0100 ,0.0050 ,-0.0025 ,-0.0050 ,2.7813 ,2.7750 ,0.0188 ,0.0063 
12.8000 ,0.0125 ,0.0100 ,0.0150 ,0.0100 ,0.0100 ,0.0075 ,0.0000 ,-0.0025 ,2.7688 ,2.7625 ,0.0125 ,0.0063 
12.8500 ,0.0125 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,-0.0025 ,-0.0025 ,2.7625 ,2.7500 ,0.0125 ,0.0063 
12.9000 ,0.0150 ,0.0125 ,0.0150 ,0.0100 ,0.0075 ,0.0050 ,-0.0025 ,-0.0025 ,2.7500 ,2.7313 ,0.0125 ,0.0063 
12.9500 ,0.0125 ,0.0100 ,0.0150 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0050 ,2.7375 ,2.7250 ,0.0188 ,0.0063 
13.0000 ,0.0150 ,0.0100 ,0.0150 ,0.0100 ,0.0075 ,0.0050 ,-0.0025 ,-0.0025 ,2.7250 ,2.7125 ,0.0125 ,0.0063 
13.0500 ,0.0150 ,0.0100 ,0.0125 ,0.0100 ,0.0050 ,0.0025 ,0.0025 ,-0.0025 ,2.7188 ,2.7125 ,0.0125 ,0.0063 
13.1000 ,0.0150 ,0.0075 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0050 ,2.7188 ,2.7125 ,0.0125 ,0.0063 
13.1500 ,0.0150 ,0.0100 ,0.0125 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.7125 ,2.7125 ,0.0188 ,0.0063 
13.2000 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0025 ,-0.0025 ,2.7125 ,2.7063 ,0.0125 ,0.0063 
13.2500 ,0.0150 ,0.0150 ,0.0150 ,0.0150 ,0.0075 ,0.0050 ,0.0000 ,-0.0050 ,2.7063 ,2.6938 ,0.0125 ,0.0063 
13.3000 ,0.0150 ,0.0100 ,0.0125 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.7000 ,2.6813 ,0.0188 ,0.0125 
13.3500 ,0.0150 ,0.0100 ,0.0150 ,0.0100 ,0.0075 ,0.0075 ,-0.0025 ,-0.0025 ,2.6813 ,2.6625 ,0.0125 ,0.0063 
13.4000 ,0.0150 ,0.0100 ,0.0150 ,0.0100 ,0.0050 ,0.0025 ,0.0025 ,0.0000 ,2.6625 ,2.6500 ,0.0188 ,0.0063 
13.4500 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0025 ,0.0000 ,-0.0025 ,2.6500 ,2.6375 ,0.0125 ,0.0063 
13.5000 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,-0.0025 ,-0.0050 ,2.6375 ,2.6250 ,0.0125 ,0.0063 
13.5500 ,0.0175 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.6250 ,2.6188 ,0.0125 ,0.0063 
13.6000 ,0.0150 ,0.0100 ,0.0150 ,0.0100 ,0.0100 ,0.0050 ,-0.0025 ,-0.0050 ,2.6125 ,2.6063 ,0.0125 ,0.0063 
13.6500 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0025 ,-0.0025 ,2.6063 ,2.6063 ,0.0188 ,0.0063 
13.7000 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.6125 ,2.6000 ,0.0125 ,0.0063 
13.7500 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0050 ,2.6000 ,2.5938 ,0.0125 ,0.0063 
13.8000 ,0.0150 ,0.0100 ,0.0150 ,0.0100 ,0.0075 ,0.0050 ,-0.0025 ,-0.0050 ,2.5875 ,2.5813 ,0.0125 ,0.0063 
13.8500 ,0.0125 ,0.0100 ,0.0150 ,0.0125 ,0.0100 ,0.0050 ,-0.0025 ,-0.0075 ,2.5750 ,2.5625 ,0.0125 ,0.0063 
13.9000 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,-0.0025 ,-0.0050 ,2.5563 ,2.5438 ,0.0188 ,0.0063 
13.9500 ,0.0150 ,0.0100 ,0.0150 ,0.0150 ,0.0075 ,0.0050 ,-0.0025 ,-0.0050 ,2.5375 ,2.5250 ,0.0125 ,0.0063 
14.0000 ,0.0125 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0075 ,-0.0025 ,-0.0050 ,2.5188 ,2.5063 ,0.0125 ,0.0063 
14.0500 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,-0.0025 ,-0.0050 ,2.5063 ,2.4875 ,0.0125 ,0.0063 
14.1000 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.4813 ,2.4750 ,0.0188 ,0.0063 
14.1500 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0100 ,0.0050 ,-0.0025 ,-0.0075 ,2.4750 ,2.4625 ,0.0125 ,0.0063 
14.2000 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0100 ,0.0075 ,-0.0025 ,-0.0075 ,2.4625 ,2.4438 ,0.0125 ,0.0063 
14.2500 ,0.0125 ,0.0100 ,0.0150 ,0.0100 ,0.0075 ,0.0050 ,-0.0025 ,-0.0050 ,2.4375 ,2.4250 ,0.0125 ,0.0063 
14.3000 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0100 ,0.0050 ,0.0000 ,-0.0025 ,2.4188 ,2.4063 ,0.0188 ,0.0063 
14.3500 ,0.0150 ,0.0125 ,0.0175 ,0.0150 ,0.0100 ,0.0050 ,0.0000 ,-0.0025 ,2.4000 ,2.3875 ,0.0125 ,0.0063 
14.4000 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0125 ,0.0050 ,-0.0025 ,-0.0050 ,2.3813 ,2.3750 ,0.0125 ,0.0063 
14.4500 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0050 ,2.3750 ,2.3688 ,0.0125 ,0.0063 
14.5000 ,0.0150 ,0.0125 ,0.0150 ,0.0100 ,0.0125 ,0.0050 ,-0.0025 ,-0.0050 ,2.3688 ,2.3625 ,0.0125 ,0.0063 
14.5500 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0100 ,0.0075 ,0.0000 ,-0.0075 ,2.3625 ,2.3563 ,0.0125 ,0.0063 
14.6000 ,0.0125 ,0.0100 ,0.0150 ,0.0125 ,0.0125 ,0.0050 ,-0.0025 ,-0.0050 ,2.3563 ,2.3438 ,0.0188 ,0.0063 
14.6500 ,0.0125 ,0.0075 ,0.0150 ,0.0100 ,0.0100 ,0.0050 ,0.0000 ,-0.0075 ,2.3438 ,2.3313 ,0.0125 ,0.0063 
14.7000 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.3313 ,2.3188 ,0.0125 ,0.0063 
14.7500 ,0.0150 ,0.0075 ,0.0125 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0050 ,2.3125 ,2.3063 ,0.0125 ,0.0063 
14.8000 ,0.0125 ,0.0075 ,0.0150 ,0.0100 ,0.0100 ,0.0075 ,0.0000 ,-0.0050 ,2.3063 ,2.2938 ,0.0125 ,0.0063 
14.8500 ,0.0125 ,0.0075 ,0.0125 ,0.0100 ,0.0075 ,0.0075 ,0.0000 ,-0.0025 ,2.2938 ,2.2875 ,0.0125 ,0.0063 
14.9000 ,0.0125 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0050 ,2.2875 ,2.2813 ,0.0125 ,0.0063 
14.9500 ,0.0100 ,0.0100 ,0.0150 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0050 ,2.2875 ,2.2750 ,0.0188 ,0.0063 
15.0000 ,0.0125 ,0.0075 ,0.0125 ,0.0100 ,0.0075 ,0.0075 ,0.0000 ,-0.0025 ,2.2813 ,2.2750 ,0.0125 ,0.0063 
15.0500 ,0.0125 ,0.0075 ,0.0125 ,0.0125 ,0.0075 ,0.0050 ,-0.0025 ,-0.0025 ,2.2813 ,2.2750 ,0.0125 ,0.0063 
15.1000 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.2750 ,2.2625 ,0.0125 ,0.0063 
15.1500 ,0.0150 ,0.0075 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,-0.0025 ,-0.0025 ,2.2563 ,2.2500 ,0.0125 ,0.0063 
15.2000 ,0.0150 ,0.0075 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.2438 ,2.2313 ,0.0125 ,0.0125 
15.2500 ,0.0125 ,0.0100 ,0.0125 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.2313 ,2.2188 ,0.0125 ,0.0063 
15.3000 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.2188 ,2.2063 ,0.0125 ,0.0000 
15.3500 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.2063 ,2.2000 ,0.0125 ,0.0063 
15.4000 ,0.0100 ,0.0100 ,0.0125 ,0.0075 ,0.0075 ,0.0050 ,-0.0025 ,-0.0050 ,2.1938 ,2.1813 ,0.0125 ,0.0063 
15.4500 ,0.0125 ,0.0100 ,0.0125 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.1813 ,2.1750 ,0.0188 ,0.0063 
15.5000 ,0.0100 ,0.0100 ,0.0125 ,0.0100 ,0.0075 ,0.0050 ,-0.0025 ,-0.0050 ,2.1688 ,2.1625 ,0.0125 ,0.0125 
15.5500 ,0.0150 ,0.0100 ,0.0150 ,0.0100 ,0.0100 ,0.0050 ,-0.0025 ,-0.0025 ,2.1625 ,2.1500 ,0.0125 ,0.0063 
15.6000 ,0.0175 ,0.0100 ,0.0150 ,0.0100 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.1438 ,2.1313 ,0.0125 ,0.0063 
15.6500 ,0.0125 ,0.0075 ,0.0125 ,0.0075 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,2.1250 ,2.1125 ,0.0125 ,0.0000 
15.7000 ,0.0125 ,0.0100 ,0.0125 ,0.0075 ,0.0100 ,0.0050 ,0.0000 ,-0.0050 ,2.1125 ,2.1000 ,0.0188 ,0.0063 
15.7500 ,0.0125 ,0.0100 ,0.0125 ,0.0075 ,0.0075 ,0.0075 ,0.0000 ,-0.0025 ,2.0938 ,2.0875 ,0.0125 ,0.0063 
15.8000 ,0.0125 ,0.0100 ,0.0100 ,0.0075 ,0.0075 ,0.0075 ,0.0000 ,-0.0025 ,2.0875 ,2.0750 ,0.0188 ,0.0063 
15.8500 ,0.0125 ,0.0100 ,0.0125 ,0.0075 ,0.0100 ,0.0075 ,0.0000 ,-0.0075 ,2.0750 ,2.0688 ,0.0125 ,0.0063 
15.9000 ,0.0150 ,0.0100 ,0.0125 ,0.0075 ,0.0100 ,0.0075 ,-0.0025 ,-0.0050 ,2.0688 ,2.0625 ,0.0125 ,0.0063 
15.9500 ,0.0125 ,0.0100 ,0.0125 ,0.0100 ,0.0100 ,0.0075 ,-0.0025 ,-0.0075 ,2.0688 ,2.0625 ,0.0188 ,0.0063 
16.0000 ,0.0125 ,0.0100 ,0.0150 ,0.0100 ,0.0100 ,0.0075 ,-0.0025 ,-0.0050 ,2.0625 ,2.0500 ,0.0188 ,0.0063 
16.0500 ,0.0100 ,0.0075 ,0.0125 ,0.0125 ,0.0100 ,0.0050 ,0.0025 ,-0.0050 ,2.0500 ,2.0313 ,0.0125 ,0.0063 
16.1000 ,0.0125 ,0.0100 ,0.0125 ,0.0100 ,0.0100 ,0.0075 ,-0.0025 ,-0.0050 ,2.0375 ,2.0125 ,0.0125 ,0.0063 
16.1500 ,0.0150 ,0.0125 ,0.0150 ,0.0100 ,0.0125 ,0.0075 ,0.0000 ,-0.0050 ,2.0125 ,2.0000 ,0.0125 ,0.0000 
16.2000 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0150 ,0.0100 ,0.0000 ,-0.0050 ,2.0000 ,1.9875 ,0.0125 ,0.0000 
16.2500 ,0.0125 ,0.0075 ,0.0150 ,0.0100 ,0.0125 ,0.0050 ,-0.0025 ,-0.0050 ,1.9875 ,1.9813 ,0.0125 ,0.0063 
16.3000 ,0.0125 ,0.0075 ,0.0125 ,0.0100 ,0.0100 ,0.0075 ,0.0000 ,-0.0025 ,1.9875 ,1.9750 ,0.0188 ,0.0063 
16.3500 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0100 ,0.0075 ,0.0000 ,-0.0075 ,1.9813 ,1.9750 ,0.0125 ,0.0063 
16.4000 ,0.0100 ,0.0075 ,0.0125 ,0.0125 ,0.0100 ,0.0050 ,-0.0025 ,-0.0050 ,1.9750 ,1.9688 ,0.0125 ,0.0063 
16.4500 ,0.0100 ,0.0075 ,0.0125 ,0.0125 ,0.0100 ,0.0050 ,0.0000 ,-0.0050 ,1.9625 ,1.9563 ,0.0125 ,0.0063 
16.5000 ,0.0100 ,0.0075 ,0.0150 ,0.0125 ,0.0100 ,0.0075 ,0.0000 ,-0.0025 ,1.9500 ,1.9313 ,0.0125 ,0.0063 
16.5500 ,0.0100 ,0.0075 ,0.0125 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,1.9313 ,1.9188 ,0.0188 ,0.0063 
16.6000 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0125 ,0.0075 ,0.0000 ,-0.0050 ,1.9125 ,1.8938 ,0.0125 ,0.0063 
16.6500 ,0.0125 ,0.0075 ,0.0125 ,0.0100 ,0.0125 ,0.0075 ,-0.0025 ,-0.0075 ,1.8938 ,1.8813 ,0.0125 ,0.0063 
16.7000 ,0.0100 ,0.0075 ,0.0150 ,0.0125 ,0.0100 ,0.0075 ,0.0000 ,-0.0075 ,1.8750 ,1.8563 ,0.0125 ,0.0063 
16.7500 ,0.0100 ,0.0075 ,0.0125 ,0.0125 ,0.0100 ,0.0050 ,-0.0025 ,-0.0075 ,1.8563 ,1.8438 ,0.0125 ,0.0063 
16.8000 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0125 ,0.0075 ,0.0000 ,-0.0050 ,1.8438 ,1.8313 ,0.0125 ,0.0063 
16.8500 ,0.0150 ,0.0075 ,0.0125 ,0.0100 ,0.0100 ,0.0075 ,-0.0025 ,-0.0050 ,1.8313 ,1.8250 ,0.0125 ,0.0125 
16.9000 ,0.0125 ,0.0075 ,0.0125 ,0.0075 ,0.0125 ,0.0075 ,-0.0025 ,-0.0075 ,1.8188 ,1.8125 ,0.0125 ,0.0063 
16.9500 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0125 ,0.0075 ,-0.0025 ,-0.0050 ,1.8125 ,1.8000 ,0.0125 ,0.0000 
17.0000 ,0.0125 ,0.0075 ,0.0125 ,0.0100 ,0.0125 ,0.0075 ,0.0000 ,-0.0050 ,1.7938 ,1.7875 ,0.0125 ,0.0063 
17.0500 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0100 ,0.0075 ,0.0000 ,-0.0075 ,1.7813 ,1.7625 ,0.0125 ,0.0063 
17.1000 ,0.0100 ,0.0100 ,0.0125 ,0.0100 ,0.0100 ,0.0075 ,0.0000 ,-0.0050 ,1.7625 ,1.7563 ,0.0125 ,0.0063 
17.1500 ,0.0075 ,0.0075 ,0.0125 ,0.0100 ,0.0125 ,0.0050 ,0.0000 ,-0.0050 ,1.7500 ,1.7438 ,0.0125 ,0.0063 
17.2000 ,0.0100 ,0.0050 ,0.0150 ,0.0125 ,0.0100 ,0.0050 ,-0.0025 ,-0.0025 ,1.7500 ,1.7313 ,0.0125 ,0.0063 
17.2500 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0100 ,0.0075 ,0.0000 ,-0.0025 ,1.7375 ,1.7375 ,0.0188 ,0.0063 
17.3000 ,0.0100 ,0.0075 ,0.0150 ,0.0100 ,0.0100 ,0.0050 ,-0.0025 ,-0.0025 ,1.7438 ,1.7375 ,0.0188 ,0.0063 
17.3500 ,0.0100 ,0.0100 ,0.0125 ,0.0125 ,0.0125 ,0.0050 ,0.0000 ,-0.0075 ,1.7438 ,1.7375 ,0.0125 ,0.0063 
17.4000 ,0.0100 ,0.0075 ,0.0125 ,0.0125 ,0.0125 ,0.0075 ,0.0000 ,-0.0075 ,1.7438 ,1.7375 ,0.0125 ,0.0063 
17.4500 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0125 ,0.0075 ,-0.0025 ,-0.0025 ,1.7375 ,1.7313 ,0.0125 ,0.0063 
17.5000 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0100 ,0.0075 ,0.0000 ,-0.0025 ,1.7313 ,1.7125 ,0.0125 ,0.0063 
17.5500 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0100 ,0.0050 ,0.0000 ,-0.0025 ,1.7125 ,1.7000 ,0.0125 ,0.0063 
17.6000 ,0.0100 ,0.0075 ,0.0125 ,0.0075 ,0.0125 ,0.0100 ,0.0000 ,-0.0075 ,1.7000 ,1.6875 ,0.0125 ,0.0063 
17.6500 ,0.0100 ,0.0075 ,0.0150 ,0.0100 ,0.0100 ,0.0100 ,0.0000 ,-0.0025 ,1.6813 ,1.6750 ,0.0125 ,0.0125 
17.7000 ,0.0100 ,0.0075 ,0.0125 ,0.0100 ,0.0125 ,0.0100 ,0.0000 ,-0.0025 ,1.6688 ,1.6688 ,0.0188 ,0.0063 
17.7500 ,0.0125 ,0.0075 ,0.0150 ,0.0100 ,0.0150 ,0.0100 ,0.0000 ,-0.0050 ,1.6625 ,1.6625 ,0.0125 ,0.0063 
17.8000 ,0.0150 ,0.0100 ,0.0150 ,0.0100 ,0.0125 ,0.0075 ,-0.0025 ,-0.0025 ,1.6625 ,1.6563 ,0.0188 ,0.0063 
17.8500 ,0.0150 ,0.0100 ,0.0150 ,0.0125 ,0.0125 ,0.0075 ,-0.0025 ,-0.0050 ,1.6625 ,1.6563 ,0.0125 ,0.0063 
17.9000 ,0.0150 ,0.0100 ,0.0150 ,0.0100 ,0.0100 ,0.0075 ,0.0000 ,-0.0025 ,1.6625 ,1.6500 ,0.0125 ,0.0063 
17.9500 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0125 ,0.0075 ,0.0000 ,-0.0050 ,1.6500 ,1.6438 ,0.0188 ,0.0063 
